Date/Time,Total_Demand_kWh,Aircon_kWh,Plugs_kWh,Lighting_kWh,Other_kWh
13/04/2024 5:00,0.1295,0.033583,0.083045,0.010203,0.002669
13/04/2024 6:00,0.1305,0.040698,0.074493,0.012807,0.002501
13/04/2024 7:00,0.1295,0.052083,0.063466,0.011802,0.002149
13/04/2024 8:00,0.1287,0.051881,0.06461,0.009463,0.002746
13/04/2024 9:00,0.1306,0.04422,0.074526,0.008476,0.003378
13/04/2024 10:00,0.3118,0.092034,0.18629,0.020244,0.013232
13/04/2024 11:00,2.1786,1.340072,0.3284,0.284041,0.226088
13/04/2024 12:00,2.1318,1.309769,0.292506,0.258255,0.27127
13/04/2024 13:00,1.4307,0.424044,0.862848,0.071405,0.072403
13/04/2024 14:00,0.2839,0.090357,0.1673,0.013802,0.012442
13/04/2024 15:00,0.5827,0.20181,0.328377,0.027482,0.025031
13/04/2024 16:00,2.4036,0.898535,1.246321,0.12073,0.138015
13/04/2024 17:00,5.9121,2.225047,2.698745,0.402717,0.585591
13/04/2024 18:00,2.6858,0.971376,1.157044,0.224005,0.333376
13/04/2024 19:00,2.6214,0.970186,1.229936,0.265877,0.155401
13/04/2024 20:00,2.591,0.995736,1.248798,0.295419,0.051047
13/04/2024 21:00,1.7784,0.675456,0.865506,0.21144,0.025998
13/04/2024 22:00,0.3151,0.113605,0.16048,0.037134,0.003881
13/04/2024 23:00,0.3358,0.100073,0.196078,0.034931,0.004719
14/04/2024 0:00,1.2463,0.28314,0.839454,0.103777,0.019929
14/04/2024 1:00,0.641,0.13134,0.448612,0.048574,0.012474
14/04/2024 2:00,1.9192,0.385046,1.345149,0.147283,0.041722
14/04/2024 3:00,0.9339,0.189293,0.652709,0.07069,0.021207
14/04/2024 4:00,0.1441,0.029918,0.100069,0.01077,0.003343
14/04/2024 5:00,0.1286,0.033349,0.082468,0.010132,0.002651
14/04/2024 6:00,0.1641,0.051177,0.093673,0.016105,0.003145
14/04/2024 7:00,0.2547,0.102436,0.124825,0.023211,0.004227
14/04/2024 8:00,0.2539,0.102351,0.127462,0.018669,0.005418
14/04/2024 9:00,1.5255,0.516517,0.870513,0.099007,0.039463
14/04/2024 10:00,0.2695,0.079548,0.161017,0.017497,0.011437
14/04/2024 11:00,0.0809,0.049762,0.012195,0.010548,0.008396
14/04/2024 12:00,0.0985,0.060518,0.013515,0.011933,0.012534
14/04/2024 13:00,0.084,0.024897,0.05066,0.004192,0.004251
14/04/2024 14:00,0.6642,0.211394,0.391407,0.032291,0.029108
14/04/2024 15:00,3.8059,1.318117,2.144791,0.179501,0.163491
14/04/2024 16:00,4.7297,1.768098,2.452456,0.237567,0.271579
14/04/2024 17:00,2.4037,0.904644,1.097237,0.163734,0.238085
14/04/2024 18:00,0.8693,0.3144,0.374495,0.072502,0.107902
14/04/2024 19:00,0.2171,0.080349,0.101861,0.022019,0.01287
